,OTS:KNEE:theta,OTS:HIP:pos-X,OTS:HIP:pos-Y,OTS:HIP:pos-Z,OTS:KNEE:pos-X,OTS:KNEE:pos-Y,OTS:KNEE:pos-Z,OTS:ANKLE:pos-X,OTS:ANKLE:pos-Y,OTS:ANKLE:pos-Z,vibe:KNEE:theta,vibe:HIP:pos-X,vibe:HIP:pos-Y,vibe:HIP:pos-Z,vibe:KNEE:pos-X,vibe:KNEE:pos-Y,vibe:KNEE:pos-Z,vibe:ANKLE:pos-X,vibe:ANKLE:pos-Y,vibe:ANKLE:pos-Z
1450,99.9962209453889,-146.11428849999993,7.747558500000082,-4.999023500000021,-132.67077649999987,-154.4920504999999,320.96569850000014,-129.4888914999999,-531.091248,350.27258299999994,98.81061121756541,-145.7965701685908,5.910581450661283,16.163902552955832,-170.87851433871614,-138.83265404008876,59.48163094274963,-146.7648255652375,-542.4353442668794,334.3311517166519
1451,99.9878416761996,-146.11325050000005,7.742706500000054,-5.034789999999703,-132.651032,-154.501175,320.9453125,-129.49258400000008,-531.0993725,350.2727050000003,98.68191998297387,-147.79480439031838,6.452572901329916,15.74130767107599,-179.48070453588517,-137.7981758931085,64.02944587232622,-163.0840198332295,-545.9537602433631,332.550234737373
1452,99.98318194610704,-146.11495949999994,7.731109500000002,-5.004027999999835,-132.684753,-154.49310300000002,320.95935050000026,-129.4947505,-531.093208,350.24719200000027,97.93745113115392,-147.85320581131026,6.5156746321025025,15.749694137971044,-176.99630875554473,-132.89782626226375,62.84991656699805,-162.67949448197203,-540.2467904646414,333.39120314501497
1453,99.87237476856646,-146.11401349999994,7.728180000000066,-5.035156500000085,-132.68664550000005,-154.48806749999994,320.96569850000014,-129.50582850000012,-531.0887375,350.24108900000056,97.2257021817351,-146.63145648193927,6.6006373406794125,16.065587140303432,-169.09075221920602,-129.18139499890458,59.406482521433304,-152.78024064036725,-532.3994618711566,333.7032958616454
1454,99.86913276168885,-146.11502100000007,7.723968500000069,-5.0133059999998295,-132.80859400000008,-154.70127849999994,321.293091,-129.62374850000015,-531.3486405,349.81079150000005,97.22106729217941,-146.23423203399838,6.8262174287658866,16.139635811608095,-169.18261129351185,-130.27984510022543,60.04754365916949,-150.93492359082887,-532.4584638696177,331.4579261544535
1455,99.87409801036902,-146.11477650000006,7.729186999999911,-5.012695000000349,-132.8289185000001,-154.6979060000001,321.2950439999995,-129.6453550000001,-531.3463895000001,349.7940675,97.43457439670914,-147.0102674237164,6.705261200134885,16.011040295219594,-176.37510644004868,-133.6268622004091,63.55166434849798,-156.95505229119834,-538.3008820589539,327.47687344657277
1456,99.87394657623652,-146.11431850000008,7.727233500000011,-5.028808499999741,-132.83953850000012,-154.6945495,321.2681885000002,-129.60571300000015,-531.3406145,349.80065900000045,97.17328571876148,-146.99619909370045,6.057881959764359,16.05281941371362,-174.8596258067302,-135.81340389976083,62.594608259177846,-151.65247356925,-539.6002290832238,323.9715712936463
1457,99.87330145523498,-146.11550899999995,7.72171000000003,-5.003052000000025,-132.883423,-154.69238299999995,321.2539060000004,-129.6331785,-531.3388219999999,349.7775875000002,96.8181808486482,-145.37869440539026,5.452659370206561,16.335410357099757,-162.46843638183157,-137.2143584573266,56.48523734695311,-132.2615431255207,-535.4391643917689,322.8422560970155
1458,99.97525608417595,-146.11569200000008,7.701965500000028,-5.026245000000017,-132.85314949999997,-154.67008999999996,321.2243655000002,-129.6770325,-531.316002,349.763062,96.92866978325726,-144.0466883012592,5.408023577770905,16.711472939612726,-157.62820160051444,-138.22732459146704,53.22495242842217,-122.56298843426237,-534.466338627786,324.07713763150525
1459,99.87483674374604,-146.11532599999998,7.6967164999999795,-5.047851499999979,-132.76434300000017,-154.44686950000005,320.8896485,-129.626709,-531.049202,350.1363524999997,96.89554918608722,-144.29604576265058,5.697549990406145,17.079667458756497,-167.20705079754978,-136.37622204970484,55.9905402869872,-133.12760943868386,-537.3674705154463,325.12741313490346
1460,99.97325393012736,-146.11517350000008,7.691741999999976,-5.057006999999885,-132.8931275,-154.6795045,321.20434599999953,-129.697052,-531.3245165000001,349.7552495,95.96011280796138,-144.5819251308156,5.826335136005071,17.285996996871546,-172.16690132054885,-131.40445245700215,57.5682855086589,-140.68525337606576,-534.9713086288925,323.60460961477895
1461,99.97475341036542,-146.11614999999995,7.66754149999997,-5.067626999999902,-132.84460449999995,-154.46330250000003,320.88757300000043,-129.6456605000002,-531.0643689999999,350.1423340000001,95.01550883976698,-143.53000259376392,5.766508674801912,17.137049892768744,-160.53749784974127,-128.52724479892836,53.383418378306146,-128.2065996090787,-526.7762659851962,321.3580302367359
1462,99.87304617434562,-146.11535649999996,7.672851499999979,-5.080321999999796,-132.88946549999991,-154.46806349999997,320.88171349999993,-129.6533199999999,-531.0681454999999,350.1459960000002,95.7709955075093,-142.66897471401805,5.814116040985169,16.67435260049047,-149.6857585847846,-131.58271663623864,50.05301228409701,-116.23787799610082,-524.785812849746,323.8998036971012
1463,99.86062878260093,-146.11328150000008,7.708221500000036,-5.088134999999966,-132.95727499999998,-154.696366,321.20361300000013,-129.74795500000005,-531.3428575,349.72985849999986,98.20843463954203,-143.65395635743715,6.013176228909771,16.1525753365789,-155.98673627824326,-136.56182098354026,53.56872078608359,-126.85696937351707,-532.9284849969047,333.9721705572989
1464,99.85679795137207,-146.1150815000001,7.690307499999903,-5.062622000000374,-133.00201400000014,-154.6626285000001,321.2058099999995,-129.71319549999998,-531.3100820000001,349.69445799999994,100.2699795594695,-145.03980141076687,6.113645044866644,15.740025847536792,-166.0854903644182,-137.02814696184265,58.185848092222216,-143.7552194014212,-538.71026312309,346.51442082669655
1465,99.85791525122838,-146.1155699999999,7.683898999999997,-5.056518500000038,-132.99862699999994,-154.66281100000003,321.2124025000003,-129.7534794999999,-531.3120495000001,349.6768805000001,100.30645322745406,-144.77411906628862,5.97868417261364,15.532977249722379,-162.3206968991703,-133.04544277128068,56.43534064430639,-141.5192108609778,-533.812038587096,352.3677443858611
1466,99.855262359942,-146.11569200000008,7.688079499999958,-5.048095999999987,-133.05056750000017,-154.6316525000001,321.1989744999996,-129.75921600000015,-531.2781905000002,349.69482449999987,98.83382286433515,-144.0048638929699,5.78425328055414,15.752244295917139,-155.62189328971397,-129.63995973617114,52.43617186352833,-131.36425178673463,-528.0761331086399,348.0686772629948
1467,99.85280961490614,-146.115448,7.677978499999995,-5.070800999999847,-133.02597050000008,-154.61830100000003,321.16235350000034,-129.7735295,-531.266075,349.6442870000001,97.56704783265347,-145.11893561538494,5.824362795604884,16.4960867590013,-165.28816782117008,-128.88018288123638,54.47365047925035,-139.85937198009825,-532.3562502087068,340.20023231571463
1468,99.85776580933198,-146.11782849999997,7.643585499999972,-5.055663999999979,-133.0544125,-154.6276395000001,321.1628420000002,-129.784088,-531.2753295,349.64025900000024,97.44494754669257,-147.41692400992417,6.123224266500586,17.30188873810954,-182.5451225747492,-129.08334862119557,60.26315377952824,-159.73073449947051,-540.8031468024592,337.43593752338904
1469,99.94582681529604,-146.11773649999986,7.639007500000048,-5.06323250000014,-133.10522450000008,-154.61935449999987,321.1387944999997,-129.79354850000004,-531.2640915,349.6561284999998,98.06033925780537,-148.20177333810759,6.192921355257965,17.34957448280952,-183.94811624704317,-130.75296279082193,61.24006225138322,-162.09324543096687,-543.0548108281632,339.38067005712264
1470,99.95068550982076,-146.12005599999998,7.603057999999919,-5.051025499999923,-133.06817649999994,-154.38111950000007,320.83581550000054,-129.74481249999985,-530.9839555000001,350.01672400000007,98.75406914087912,-147.23628789148532,5.411452263609647,16.21959482553736,-169.81642343027832,-137.71495716434686,57.62229963908209,-146.24544186456677,-543.125279839341,337.94389498350176
1471,99.84853135546795,-146.11816450000003,7.613433500000042,-5.090697999999975,-133.05508399999997,-154.40213,320.8306885000002,-129.70986950000008,-531.003754,350.0314945,99.70706750205639,-146.6309224799274,3.887122941746526,14.292351849018392,-160.05848571431912,-151.0480652214182,57.2073833411925,-136.97186014255453,-551.23067744769,330.56880707403764
1472,99.96101526492708,-146.11785899999995,7.61242649999997,-5.099731499999962,-133.14822400000003,-154.62910450000004,321.1364745000001,-129.75521849999996,-531.274353,349.6257324999997,101.4317803865133,-146.83067884421092,2.620976885183751,12.459173364220629,-159.11679912063704,-164.99029521714718,60.880526311146184,-138.6417084120795,-563.6994280788007,325.7371029475041
1473,99.95860903830376,-146.11605800000007,7.626190000000065,-5.131103499999881,-133.04617300000018,-154.41380299999992,320.7879640000001,-129.68017600000007,-531.0129619999999,350.03186000000005,103.30260737984469,-146.24839877363084,2.3872807612798113,11.58242401835146,-153.91526867526193,-171.00991210139443,61.15109000186038,-132.04606946477185,-566.5575374896883,330.90246551852863
1474,99.9540451641278,-146.11520400000006,7.662444999999934,-5.1015625,-133.10888699999998,-154.42129500000004,320.8104250000001,-129.67001349999998,-531.0221865000001,350.02014150000014,103.74676190794722,-144.8458173940137,2.8201888211761457,11.981402158647457,-143.39265879749874,-166.3727759242957,55.864829022535616,-115.93207047007644,-557.2692497841256,340.57399525315145
1475,99.9574192388392,-146.11593649999998,7.645019499999989,-5.107300000000123,-133.12332149999986,-154.417602,320.80773899999986,-129.68228150000016,-531.019096,350.00329599999986,102.65990990088832,-144.59995200908466,3.1842601845657157,13.067900294326265,-142.2301431993593,-158.41553604803107,52.704498126993826,-113.0485234264263,-549.4475368374691,343.8710565318148
1476,99.95679219580454,-146.11730949999992,7.632111000000009,-5.086303999999927,-133.12149099999988,-154.43875100000002,320.80407749999995,-129.68701199999987,-531.040497,350.00085450000006,102.37317559216571,-145.88485880236647,3.5733814119001863,13.655014745170462,-153.5791481535504,-158.05901029048533,57.128873329263286,-129.8701254758733,-553.91637524663,340.5813284877627
1477,99.96050025429815,-146.11895750000008,7.607025499999963,-5.076538000000255,-133.14935300000002,-154.46347049999997,320.7974855000002,-129.7192685,-531.0665055,349.97766150000007,104.59064262685735,-146.54770404982372,4.424097770358117,13.104620603404715,-162.10240583468715,-167.10968361116795,64.19887246419705,-144.16881440071342,-565.0002569798075,340.4234216363336
1478,99.96244010227548,-146.1173705000001,7.61557049999999,-5.109008999999787,-133.1575620000001,-154.449585,320.7663570000004,-129.68283099999985,-531.050194,349.9780270000001,107.33016219168377,-145.47672083847993,5.198838390068261,12.11096761847688,-158.22196300153482,-175.08733543232182,66.16836910264794,-140.48688752429305,-569.6340738003846,346.71970592416324
